"Date(UTC)","UnixTimeStamp","Value (Wei)","Value (ETH/USD)"
"8/21/2016","1471737600","22724928781","11.14"
"8/22/2016","1471824000","22323641612","11.07"
"8/23/2016","1471910400","22472449180","11.01"
"8/24/2016","1471996800","22134955112","11.01"
"8/25/2016","1472083200","21662495420","11.35"
"8/26/2016","1472169600","22060468684","11.26"
"8/27/2016","1472256000","22084491734","11.19"
"8/28/2016","1472342400","22327330954","10.99"
"8/29/2016","1472428800","22503390990","10.95"
"8/30/2016","1472515200","21969060645","11.21"
"8/31/2016","1472601600","22383972827","11.55"
"9/1/2016","1472688000","22350497450","12.21"
"9/2/2016","1472774400","21832746445","12.08"
"9/3/2016","1472860800","22180114518","11.85"
"9/4/2016","1472947200","23122925314","11.71"
"9/5/2016","1473033600","22297761925","11.75"
"9/6/2016","1473120000","22011556383","11.70"
"9/7/2016","1473206400","22086810764","11.59"
"9/8/2016","1473292800","22630806155","11.39"
"9/9/2016","1473379200","21954984795","11.72"
"9/10/2016","1473465600","22516085593","12.05"
"9/11/2016","1473552000","23221716092","11.64"
"9/12/2016","1473638400","23192092540","11.89"
"9/13/2016","1473724800","22172975216","11.92"
"9/14/2016","1473811200","21847315101","11.97"
"9/15/2016","1473897600","22076869309","11.96"
"9/16/2016","1473984000","21913132122","12.61"
"9/17/2016","1474070400","22349371995","12.83"
"9/18/2016","1474156800","22722051979","12.39"
"9/19/2016","1474243200","22459974842","12.93"
"9/20/2016","1474329600","22114596899","14.72"
"9/21/2016","1474416000","21875371150","13.72"
"9/22/2016","1474502400","21998293790","13.11"
"9/23/2016","1474588800","36520780497","13.36"
"9/24/2016","1474675200","33231902597","12.91"
"9/25/2016","1474761600","38650733832","13.05"
"9/26/2016","1474848000","43188170153","12.89"
"9/27/2016","1474934400","35880566234","13.09"
"9/28/2016","1475020800","31053957466","13.30"
"9/29/2016","1475107200","30521640536","13.17"
"9/30/2016","1475193600","29817386069","13.24"
"10/1/2016","1475280000","27851144123","13.21"
"10/2/2016","1475366400","29274270351","13.23"
"10/3/2016","1475452800","28921116127","13.45"
